Ticket Number,Date Created,Subject,Priority,Department,Help Topic,Source,Current Status,Last Updated,SLA Due Date,Due Date,Closed Date,Overdue,Answered,Agent Assigned
483235,8/29/2018 12:39,Need cable,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 12:39,,8/30/2018 14:09,No,No,Admin
995422,8/29/2018 12:39,Can you white list,Normal,CCS Support,"CCS Main / CCS WhiteList (Websites, Extensi",Email,Resolved,8/29/2018 13:25,8/31/2018 12:39,,8/29/2018 13:25,No,Yes,Admin
225115,8/29/2018 12:40,Chromebook,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 12:40,,8/30/2018 14:09,No,No,Admin
714869,8/29/2018 12:40,Tv doesn’t work,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 12:40,,8/30/2018 14:09,No,No,Admin
610691,8/29/2018 14:05,Another one,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 14:05,,8/30/2018 14:09,No,No,Admin
607503,8/29/2018 16:26,Website,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 16:26,,8/30/2018 14:09,No,No,Admin
547412,8/29/2018 16:26,Issue,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 16:26,,8/30/2018 14:09,No,Yes,Admin
696288,8/29/2018 16:26,Chrome book,Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 16:26,,8/30/2018 14:09,No,No,Admin
735844,8/29/2018 18:30,Help,Normal,CBC Support,CBC Main,Email,Closed,8/30/2018 14:09,8/31/2018 18:30,,8/30/2018 14:09,No,No,Admin
793165,8/29/2018 18:30,Help,Normal,CCS Support,CCS Main,Email,Closed,8/30/2018 14:09,8/31/2018 18:30,,8/30/2018 14:09,No,No,Admin
962805,8/29/2018 18:30,Help,Normal,Wee School Department,WEE School Issues,Email,Closed,8/30/2018 14:09,8/31/2018 18:30,,8/30/2018 14:09,No,Yes,Admin
655668,8/29/2018 12:40,Re: Emails [#341233],Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 12:40,,8/30/2018 14:09,No,No,Admin
275820,8/29/2018 12:40,Re: Emails [#341233],Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 12:40,,8/30/2018 14:09,No,No,Admin
121385,8/29/2018 12:40,Re: Emails [#341233],Normal,CCS Support,,Email,Closed,8/30/2018 14:09,8/31/2018 12:40,,8/30/2018 14:09,No,No,Admin
206237,8/31/2018 12:55,[CCS Helpdesk] Testing....Delete,Normal,CCS Support,CCS Main,Email,Closed,8/31/2018 13:20,9/2/2018 12:55,,8/31/2018 13:20,No,Yes,Ed
